[LOG][2000-01-01 06:13] Temp: 18.9C, Press: 100.2Pa, Humid: 66.1%, Volt: 13.9V, Flow: 13.6 L/min, CO2: 383 ppm
[LOG][2000-03-27 21:39] Temp: 19.3C, Press: 100.7Pa, Humid: 74.8%, Volt: 13.2V, Flow: 13.7 L/min, CO2: 360 ppm
[LOG][2000-03-28 02:22] Temp: 26.9C, Press: 99.9Pa, Humid: 41.9%, Volt: 11.3V, Flow: 14.9 L/min, CO2: 496 ppm
[LOG][2000-03-29 07:50] Temp: 15.1C, Press: 100.7Pa, Humid: 71.8%, Volt: 13.0V, Flow: 5.0 L/min, CO2: 462 ppm
[LOG][2000-03-30 21:56] Temp: 19.8C, Press: 104.1Pa, Humid: 72.3%, Volt: 13.3V, Flow: 13.9 L/min, CO2: 476 ppm
[LOG][2000-03-31 08:33] Temp: 25.4C, Press: 100.2Pa, Humid: 77.2%, Volt: 11.7V, Flow: 6.3 L/min, CO2: 407 ppm
[LOG][2000-03-31 18:58] Temp: 22.8C, Press: 103.7Pa, Humid: 55.1%, Volt: 11.4V, Flow: 6.0 L/min, CO2: 431 ppm
[LOG][2000-04-01 00:41] Temp: 20.2C, Press: 99.3Pa, Humid: 72.2%, Volt: 13.1V, Flow: 11.8 L/min, CO2: 436 ppm
[LOG][2000-04-02 19:03] Temp: 32.9C, Press: 101.2Pa, Humid: 72.6%, Volt: 11.9V, Flow: 7.4 L/min, CO2: 389 ppm
[LOG][2000-04-03 04:08] Temp: 27.0C, Press: 101.9Pa, Humid: 69.9%, Volt: 12.7V, Flow: 12.2 L/min, CO2: 494 ppm
[LOG][2000-04-03 08:51] Temp: 21.2C, Press: 104.9Pa, Humid: 55.5%, Volt: 12.2V, Flow: 9.7 L/min, CO2: 384 ppm
[LOG][2000-04-03 22:11] Temp: 21.8C, Press: 84.9Pa, Humid: 2.7%, Volt: 13.8V, Flow: 6.6 L/min, CO2: 371 ppm
[LOG][2000-04-04 22:45] Temp: 29.0C, Press: 99.2Pa, Humid: 46.5%, Volt: 13.0V, Flow: 9.3 L/min, CO2: 415 ppm
[LOG][2000-04-04 23:33] Temp: 17.2C, Press: 104.6Pa, Humid: 73.4%, Volt: 12.1V, Flow: 14.0 L/min, CO2: 368 ppm
[LOG][2000-04-05 08:38] Temp: 26.9C, Press: 103.2Pa, Humid: 48.0%, Volt: 13.6V, Flow: 10.1 L/min, CO2: 352 ppm
[LOG][2000-04-06 01:14] Temp: 19.9C, Press: 98.4Pa, Humid: 56.9%, Volt: 12.1V, Flow: 5.8 L/min, CO2: 353 ppm
[LOG][2000-04-06 08:14] Temp: 19.0C, Press: 104.4Pa, Humid: 43.6%, Volt: 12.6V, Flow: 12.7 L/min, CO2: 499 ppm
[LOG][2000-04-06 20:35] Temp: 20.2C, Press: 100.8Pa, Humid: 50.7%, Volt: 11.3V, Flow: 14.5 L/min, CO2: 356 ppm
[LOG][2000-04-07 15:23] Temp: 32.2C, Press: 98.7Pa, Humid: 39.8%, Volt: 12.4V, Flow: 6.1 L/min, CO2: 412 ppm
[LOG][2000-04-07 21:55] Temp: 29.4C, Press: 100.6Pa, Humid: 56.4%, Volt: 12.2V, Flow: 13.1 L/min, CO2: 493 ppm
[LOG][2000-04-08 14:21] Temp: 27.8C, Press: 100.8Pa, Humid: 37.6%, Volt: 13.8V, Flow: 12.8 L/min, CO2: 402 ppm
[LOG][2000-04-09 06:15] Temp: 16.1C, Press: 104.7Pa, Humid: 35.3%, Volt: 12.8V, Flow: 8.8 L/min, CO2: 447 ppm
[LOG][2000-04-10 06:34] Temp: 32.4C, Press: 102.5Pa, Humid: 67.2%, Volt: 11.1V, Flow: 9.3 L/min, CO2: 430 ppm
[LOG][2000-04-10 14:10] Temp: 34.2C, Press: 104.3Pa, Humid: 34.0%, Volt: 13.7V, Flow: 13.5 L/min, CO2: 470 ppm
[LOG][2000-04-10 18:16] Temp: 19.5C, Press: 103.9Pa, Humid: 72.0%, Volt: 13.8V, Flow: 15.0 L/min, CO2: 447 ppm
[LOG][2000-04-11 01:59] Temp: 17.7C, Press: 102.6Pa, Humid: 57.7%, Volt: 13.9V, Flow: 14.2 L/min, CO2: 367 ppm
[LOG][2000-04-11 20:54] Temp: 23.8C, Press: 99.5Pa, Humid: 52.2%, Volt: 13.4V, Flow: 6.1 L/min, CO2: 376 ppm
[LOG][2000-04-12 09:50] Temp: 66.7C, Press: 101.0Pa, Humid: 66.1%, Volt: 11.5V, Flow: 14.6 L/min, CO2: 499 ppm
[WARN] High Temperature Detected - Temp: 66.7C
[LOG][2000-04-13 00:21] Temp: 17.9C, Press: 102.6Pa, Humid: 36.1%, Volt: 13.6V, Flow: 9.5 L/min, CO2: 405 ppm
[LOG][2000-04-13 14:33] Temp: 24.5C, Press: 99.9Pa, Humid: 36.8%, Volt: 13.6V, Flow: 11.6 L/min, CO2: 447 ppm
[LOG][2000-04-13 14:47] Temp: 18.8C, Press: 102.9Pa, Humid: 64.5%, Volt: 11.4V, Flow: 11.6 L/min, CO2: 411 ppm
[LOG][2000-04-14 18:07] Temp: 26.4C, Press: 104.0Pa, Humid: 76.4%, Volt: 12.6V, Flow: 13.3 L/min, CO2: 485 ppm
[LOG][2000-04-14 21:05] Temp: 21.0C, Press: 102.6Pa, Humid: 66.1%, Volt: 13.1V, Flow: 8.1 L/min, CO2: 431 ppm
[LOG][2000-04-15 06:42] Temp: 16.1C, Press: 100.5Pa, Humid: 39.4%, Volt: 13.6V, Flow: 12.5 L/min, CO2: 450 ppm
[LOG][2000-04-15 12:31] Temp: 23.4C, Press: 100.7Pa, Humid: 30.2%, Volt: 12.2V, Flow: 29.7 L/min, CO2: 447 ppm
[WARN] Flow Rate Anomaly - Flow: 29.7 L/min
[LOG][2000-04-16 07:16] Temp: 33.0C, Press: 105.0Pa, Humid: 60.5%, Volt: 13.4V, Flow: 10.1 L/min, CO2: 408 ppm
[LOG][2000-04-16 09:06] Temp: 29.7C, Press: 103.0Pa, Humid: 63.5%, Volt: 11.7V, Flow: 12.8 L/min, CO2: 482 ppm
[LOG][2000-04-17 16:10] Temp: 26.6C, Press: 104.5Pa, Humid: 36.2%, Volt: 13.9V, Flow: 13.5 L/min, CO2: 497 ppm
[LOG][2000-04-17 18:35] Temp: 17.1C, Press: 101.0Pa, Humid: 72.5%, Volt: 11.2V, Flow: 14.3 L/min, CO2: 440 ppm
[LOG][2000-04-18 10:29] Temp: 28.5C, Press: 103.4Pa, Humid: 45.8%, Volt: 11.3V, Flow: 14.7 L/min, CO2: 462 ppm
[LOG][2000-04-19 20:48] Temp: 30.9C, Press: 102.2Pa, Humid: 48.7%, Volt: 12.5V, Flow: 7.3 L/min, CO2: 369 ppm
[LOG][2000-04-20 20:36] Temp: 22.8C, Press: 104.2Pa, Humid: 52.7%, Volt: 12.4V, Flow: 11.0 L/min, CO2: 491 ppm
[LOG][2000-04-21 08:58] Temp: 18.2C, Press: 103.9Pa, Humid: 32.3%, Volt: 11.1V, Flow: 11.4 L/min, CO2: 488 ppm
[LOG][2000-04-21 17:49] Temp: 17.6C, Press: 102.4Pa, Humid: 32.1%, Volt: 13.4V, Flow: 14.2 L/min, CO2: 420 ppm
[LOG][2000-04-22 06:06] Temp: 27.8C, Press: 104.3Pa, Humid: 78.8%, Volt: 12.3V, Flow: 6.2 L/min, CO2: 489 ppm
[LOG][2000-04-22 14:48] Temp: 27.0C, Press: 104.9Pa, Humid: 69.2%, Volt: 11.2V, Flow: 9.8 L/min, CO2: 443 ppm
[LOG][2000-04-23 01:55] Temp: 32.2C, Press: 98.1Pa, Humid: 99.0%, Volt: 13.4V, Flow: 12.6 L/min, CO2: 355 ppm
[WARN] Humidity Out of Bounds - Humid: 99.0%
[LOG][2000-04-23 08:27] Temp: 29.2C, Press: 103.6Pa, Humid: 71.9%, Volt: 13.0V, Flow: 12.3 L/min, CO2: 376 ppm
[LOG][2000-04-24 04:17] Temp: 21.7C, Press: 103.1Pa, Humid: 74.7%, Volt: 13.1V, Flow: 9.5 L/min, CO2: 425 ppm
[LOG][2000-04-25 18:16] Temp: 25.2C, Press: 104.4Pa, Humid: 48.4%, Volt: 11.7V, Flow: 12.2 L/min, CO2: 382 ppm
[LOG][2000-04-26 00:45] Temp: 23.5C, Press: 99.2Pa, Humid: 59.3%, Volt: 11.9V, Flow: 8.5 L/min, CO2: 487 ppm
[LOG][2000-04-26 09:10] Temp: 32.5C, Press: 100.8Pa, Humid: 77.6%, Volt: 12.7V, Flow: 14.0 L/min, CO2: 469 ppm
[LOG][2000-04-26 21:47] Temp: 29.0C, Press: 103.5Pa, Humid: 60.8%, Volt: 13.4V, Flow: 5.9 L/min, CO2: 355 ppm
[LOG][2000-04-27 05:15] Temp: 22.6C, Press: 98.8Pa, Humid: 63.7%, Volt: 11.3V, Flow: 12.8 L/min, CO2: 365 ppm
[LOG][2000-04-27 08:07] Temp: 19.1C, Press: 98.2Pa, Humid: 47.1%, Volt: 12.5V, Flow: 13.4 L/min, CO2: 464 ppm
[LOG][2000-04-27 09:36] Temp: 26.9C, Press: 103.1Pa, Humid: 39.8%, Volt: 11.3V, Flow: 5.2 L/min, CO2: 365 ppm
[LOG][2000-04-28 14:50] Temp: 32.2C, Press: 104.4Pa, Humid: 43.3%, Volt: 12.6V, Flow: 12.5 L/min, CO2: 419 ppm
[LOG][2000-04-28 22:48] Temp: 18.3C, Press: 102.5Pa, Humid: 49.5%, Volt: 11.4V, Flow: 11.7 L/min, CO2: 444 ppm
[LOG][2000-04-29 18:03] Temp: nanC, Press: 103.4Pa, Humid: nan%, Volt: 11.3V, Flow: 14.6 L/min, CO2: 472 ppm
[ERROR] Sensor Disconnected - Humid: nan, Temp: nan
[LOG][2000-04-29 18:42] Temp: 30.7C, Press: 102.0Pa, Humid: 65.5%, Volt: 12.4V, Flow: 14.6 L/min, CO2: 369 ppm
[LOG][2000-04-30 15:49] Temp: 16.5C, Press: 101.6Pa, Humid: 64.9%, Volt: 11.8V, Flow: 13.5 L/min, CO2: 372 ppm
[LOG][2000-04-30 22:19] Temp: 28.1C, Press: 104.0Pa, Humid: 53.5%, Volt: 11.6V, Flow: 14.4 L/min, CO2: 378 ppm
[LOG][2000-05-01 00:34] Temp: 16.4C, Press: 101.4Pa, Humid: 55.9%, Volt: 12.7V, Flow: 5.9 L/min, CO2: 391 ppm
[LOG][2000-05-01 05:21] Temp: 23.0C, Press: 104.3Pa, Humid: 68.3%, Volt: 13.5V, Flow: 9.1 L/min, CO2: 369 ppm
[LOG][2000-05-01 19:51] Temp: 33.6C, Press: 102.0Pa, Humid: 40.9%, Volt: 11.5V, Flow: 14.0 L/min, CO2: 402 ppm
[LOG][2000-05-02 01:51] Temp: 29.5C, Press: 100.8Pa, Humid: 73.2%, Volt: 11.9V, Flow: 7.5 L/min, CO2: 387 ppm
[LOG][2000-05-03 06:56] Temp: 30.2C, Press: 101.5Pa, Humid: 59.7%, Volt: 11.0V, Flow: 9.5 L/min, CO2: 482 ppm
[LOG][2000-05-03 09:02] Temp: 33.2C, Press: 100.8Pa, Humid: 69.2%, Volt: 11.5V, Flow: 10.3 L/min, CO2: 369 ppm
[LOG][2000-05-03 19:29] Temp: 21.6C, Press: 101.2Pa, Humid: 40.1%, Volt: 13.8V, Flow: 14.5 L/min, CO2: 417 ppm
[LOG][2000-05-04 04:42] Temp: 23.2C, Press: 104.7Pa, Humid: 31.5%, Volt: 13.2V, Flow: 11.2 L/min, CO2: 476 ppm
[LOG][2000-05-04 07:33] Temp: 25.8C, Press: 99.5Pa, Humid: 38.6%, Volt: 12.7V, Flow: 9.5 L/min, CO2: 415 ppm
[LOG][2000-05-05 20:53] Temp: 33.0C, Press: 102.5Pa, Humid: 66.4%, Volt: 12.0V, Flow: 8.2 L/min, CO2: 453 ppm
[LOG][2000-05-06 11:08] Temp: 17.9C, Press: 100.6Pa, Humid: 43.1%, Volt: 13.8V, Flow: 13.4 L/min, CO2: 386 ppm
[LOG][2000-05-07 03:12] Temp: 20.8C, Press: 105.0Pa, Humid: 38.6%, Volt: 12.4V, Flow: 14.8 L/min, CO2: 432 ppm
[LOG][2000-05-07 04:09] Temp: 33.8C, Press: 102.7Pa, Humid: 65.0%, Volt: 11.5V, Flow: 5.3 L/min, CO2: 462 ppm
[LOG][2000-05-07 17:53] Temp: 15.3C, Press: 100.1Pa, Humid: 71.7%, Volt: 13.3V, Flow: 13.7 L/min, CO2: 364 ppm
[LOG][2000-05-08 06:37] Temp: 24.7C, Press: 100.1Pa, Humid: 41.9%, Volt: 11.7V, Flow: 9.7 L/min, CO2: 414 ppm
[LOG][2000-05-09 01:08] Temp: 21.7C, Press: 99.0Pa, Humid: 72.7%, Volt: 12.7V, Flow: 12.2 L/min, CO2: 382 ppm
[LOG][2000-05-09 13:12] Temp: 26.0C, Press: 101.5Pa, Humid: 53.0%, Volt: 13.5V, Flow: 8.6 L/min, CO2: 449 ppm
[LOG][2000-05-09 13:28] Temp: 21.3C, Press: 115.2Pa, Humid: 74.6%, Volt: 11.4V, Flow: 14.5 L/min, CO2: 460 ppm
[LOG][2000-05-10 03:41] Temp: 19.8C, Press: 99.9Pa, Humid: 77.2%, Volt: 13.4V, Flow: 10.2 L/min, CO2: 400 ppm
[LOG][2000-05-10 19:31] Temp: 25.8C, Press: nanPa, Humid: 70.0%, Volt: 13.2V, Flow: 6.5 L/min, CO2: 492 ppm
[ERROR] Sensor Disconnected - Press: nan
[LOG][2000-05-11 10:22] Temp: 15.1C, Press: 102.5Pa, Humid: 49.8%, Volt: 12.6V, Flow: 12.5 L/min, CO2: 420 ppm
[LOG][2000-05-12 08:09] Temp: 17.4C, Press: 102.3Pa, Humid: 44.9%, Volt: 13.2V, Flow: 10.3 L/min, CO2: 449 ppm
[LOG][2000-05-12 11:54] Temp: 18.5C, Press: 100.2Pa, Humid: 66.4%, Volt: 13.0V, Flow: 8.7 L/min, CO2: 422 ppm
[LOG][2000-05-12 21:56] Temp: 28.3C, Press: 99.2Pa, Humid: 57.5%, Volt: 11.4V, Flow: 12.0 L/min, CO2: 481 ppm
[LOG][2000-05-13 00:04] Temp: 18.2C, Press: 102.9Pa, Humid: 46.8%, Volt: 12.8V, Flow: 11.7 L/min, CO2: 418 ppm
[LOG][2000-05-13 16:30] Temp: 17.5C, Press: 102.8Pa, Humid: 54.6%, Volt: 11.1V, Flow: 14.4 L/min, CO2: 394 ppm
[LOG][2000-05-14 20:23] Temp: 26.4C, Press: 100.2Pa, Humid: 63.1%, Volt: 12.2V, Flow: 10.8 L/min, CO2: 465 ppm
[LOG][2000-05-14 23:53] Temp: 23.3C, Press: 98.6Pa, Humid: 33.7%, Volt: 11.1V, Flow: 6.4 L/min, CO2: 468 ppm
[LOG][2000-05-15 07:19] Temp: 28.2C, Press: 100.1Pa, Humid: 32.4%, Volt: 18.9V, Flow: 6.0 L/min, CO2: 356 ppm
[LOG][2000-05-16 15:08] Temp: 16.6C, Press: 98.3Pa, Humid: 56.0%, Volt: 13.7V, Flow: 13.4 L/min, CO2: 395 ppm
[LOG][2000-05-16 15:48] Temp: 18.4C, Press: 101.0Pa, Humid: 75.4%, Volt: 12.2V, Flow: 10.2 L/min, CO2: 458 ppm
[LOG][2000-05-17 03:05] Temp: 28.7C, Press: 104.0Pa, Humid: 52.9%, Volt: 11.6V, Flow: 13.1 L/min, CO2: 411 ppm
[LOG][2000-05-17 11:31] Temp: 23.2C, Press: 103.6Pa, Humid: 74.7%, Volt: 11.6V, Flow: 5.8 L/min, CO2: 366 ppm
[LOG][2000-05-18 06:43] Temp: 22.0C, Press: 99.3Pa, Humid: 50.5%, Volt: 11.9V, Flow: 6.5 L/min, CO2: 382 ppm
[LOG][2000-05-18 07:51] Temp: 16.5C, Press: 98.5Pa, Humid: 75.5%, Volt: 11.9V, Flow: 7.3 L/min, CO2: 442 ppm
[LOG][2000-05-18 10:37] Temp: 29.7C, Press: 101.4Pa, Humid: 51.8%, Volt: 12.5V, Flow: 5.9 L/min, CO2: 489 ppm
[LOG][2000-05-19 04:45] Temp: 23.7C, Press: 101.1Pa, Humid: 41.0%, Volt: 13.0V, Flow: 7.1 L/min, CO2: 415 ppm
[LOG][2000-05-19 04:46] Temp: 19.3C, Press: 102.6Pa, Humid: 67.1%, Volt: 11.0V, Flow: 5.9 L/min, CO2: 402 ppm
[LOG][2000-05-19 16:30] Temp: 15.0C, Press: 98.1Pa, Humid: 34.5%, Volt: 12.5V, Flow: 13.0 L/min, CO2: 384 ppm
[LOG][2000-05-20 05:23] Temp: 33.6C, Press: 102.2Pa, Humid: 48.5%, Volt: 13.3V, Flow: 14.9 L/min, CO2: 357 ppm
[LOG][2000-05-21 00:10] Temp: 26.1C, Press: 98.7Pa, Humid: 31.0%, Volt: 11.8V, Flow: 13.2 L/min, CO2: 388 ppm
[LOG][2000-05-22 01:10] Temp: 19.5C, Press: 103.3Pa, Humid: 59.1%, Volt: 13.4V, Flow: 10.9 L/min, CO2: 475 ppm
[LOG][2000-05-22 01:47] Temp: 31.5C, Press: 100.3Pa, Humid: 64.3%, Volt: 13.3V, Flow: 11.7 L/min, CO2: 362 ppm
[LOG][2000-05-22 21:43] Temp: 4.1C, Press: 102.7Pa, Humid: 53.2%, Volt: 14.0V, Flow: 0.1 L/min, CO2: 354 ppm
[LOG][2000-05-23 04:46] Temp: 22.4C, Press: 101.0Pa, Humid: 60.2%, Volt: 12.1V, Flow: 9.5 L/min, CO2: 433 ppm
[LOG][2000-05-23 17:45] Temp: 15.1C, Press: 100.5Pa, Humid: 39.4%, Volt: 11.0V, Flow: 8.1 L/min, CO2: 497 ppm
[LOG][2000-05-24 23:52] Temp: 23.3C, Press: 99.9Pa, Humid: 72.1%, Volt: 12.7V, Flow: 6.6 L/min, CO2: 423 ppm
[LOG][2000-05-25 20:30] Temp: 34.5C, Press: 101.6Pa, Humid: 34.4%, Volt: 11.6V, Flow: 11.3 L/min, CO2: 467 ppm
[LOG][2000-05-26 03:04] Temp: 29.2C, Press: 104.1Pa, Humid: 30.4%, Volt: 12.8V, Flow: 10.9 L/min, CO2: 500 ppm
[LOG][2000-05-26 10:57] Temp: 33.5C, Press: 104.5Pa, Humid: 36.1%, Volt: 13.1V, Flow: 9.3 L/min, CO2: 390 ppm
[LOG][2000-05-26 11:10] Temp: 29.9C, Press: 100.0Pa, Humid: 56.3%, Volt: 13.5V, Flow: 14.4 L/min, CO2: 391 ppm
[LOG][2000-05-27 22:35] Temp: 19.8C, Press: 99.9Pa, Humid: 36.4%, Volt: 12.9V, Flow: 5.2 L/min, CO2: 458 ppm
[LOG][2000-05-28 08:27] Temp: 21.5C, Press: 101.7Pa, Humid: 31.6%, Volt: 13.2V, Flow: 6.8 L/min, CO2: 471 ppm
[LOG][2000-05-28 10:57] Temp: 18.9C, Press: 99.5Pa, Humid: 37.7%, Volt: 13.4V, Flow: 6.1 L/min, CO2: nan ppm
[ERROR] Sensor Disconnected - CO2: nan
[LOG][2000-05-29 03:29] Temp: 26.9C, Press: 103.1Pa, Humid: 54.3%, Volt: 12.1V, Flow: 13.0 L/min, CO2: 378 ppm
[LOG][2000-05-29 05:11] Temp: 34.3C, Press: 99.6Pa, Humid: 64.6%, Volt: 13.9V, Flow: 9.8 L/min, CO2: 409 ppm
[LOG][2000-05-29 06:59] Temp: 22.6C, Press: 104.4Pa, Humid: 63.5%, Volt: 11.6V, Flow: 13.4 L/min, CO2: 373 ppm
[LOG][2000-05-30 04:13] Temp: 16.0C, Press: 98.4Pa, Humid: 58.5%, Volt: 11.9V, Flow: 11.5 L/min, CO2: 432 ppm
[LOG][2000-05-30 12:42] Temp: 18.1C, Press: 101.8Pa, Humid: 49.2%, Volt: 12.9V, Flow: 7.6 L/min, CO2: 437 ppm
[LOG][2000-05-31 03:56] Temp: 23.9C, Press: 102.5Pa, Humid: 41.6%, Volt: 13.3V, Flow: 13.8 L/min, CO2: 472 ppm
[LOG][2000-05-31 15:06] Temp: 26.1C, Press: 100.8Pa, Humid: 73.9%, Volt: 13.2V, Flow: 6.2 L/min, CO2: 474 ppm
[LOG][2000-05-31 19:18] Temp: 15.1C, Press: 103.7Pa, Humid: 77.5%, Volt: 12.5V, Flow: 10.5 L/min, CO2: 406 ppm
[LOG][2000-06-01 02:02] Temp: 32.9C, Press: 102.7Pa, Humid: 79.2%, Volt: 11.2V, Flow: 12.8 L/min, CO2: 477 ppm
[LOG][2000-06-01 04:06] Temp: 32.2C, Press: 102.3Pa, Humid: 78.3%, Volt: 11.6V, Flow: 11.0 L/min, CO2: 373 ppm
[LOG][2000-06-02 06:13] Temp: 25.4C, Press: 102.0Pa, Humid: 77.3%, Volt: 12.4V, Flow: 14.0 L/min, CO2: 358 ppm
[LOG][2000-06-02 20:26] Temp: 27.9C, Press: 104.7Pa, Humid: 36.0%, Volt: 12.2V, Flow: 7.2 L/min, CO2: 439 ppm
[LOG][2000-06-02 23:16] Temp: 22.1C, Press: 99.5Pa, Humid: 73.9%, Volt: 13.5V, Flow: 14.6 L/min, CO2: 453 ppm
[LOG][2000-06-03 16:44] Temp: 30.9C, Press: 98.1Pa, Humid: 30.7%, Volt: 13.3V, Flow: 11.3 L/min, CO2: 350 ppm
[LOG][2000-06-04 00:07] Temp: 28.2C, Press: 102.6Pa, Humid: 75.7%, Volt: 11.5V, Flow: 6.9 L/min, CO2: 428 ppm
[LOG][2000-06-04 07:02] Temp: 34.7C, Press: 98.7Pa, Humid: 47.0%, Volt: 12.3V, Flow: 6.6 L/min, CO2: 441 ppm
[LOG][2000-06-04 22:29] Temp: 17.6C, Press: 100.7Pa, Humid: 56.4%, Volt: 11.2V, Flow: 9.1 L/min, CO2: 432 ppm
[LOG][2000-06-05 00:29] Temp: 16.9C, Press: 99.5Pa, Humid: 73.6%, Volt: 12.6V, Flow: 7.2 L/min, CO2: 381 ppm
[LOG][2000-06-05 14:53] Temp: 26.4C, Press: nanPa, Humid: 35.7%, Volt: 12.2V, Flow: nan L/min, CO2: 383 ppm
[ERROR] Sensor Disconnected - Press: nan, Flow: nan
[LOG][2000-06-06 13:15] Temp: 25.4C, Press: 103.9Pa, Humid: 57.7%, Volt: 13.7V, Flow: 7.2 L/min, CO2: 478 ppm
[LOG][2000-06-06 20:13] Temp: 25.9C, Press: 99.5Pa, Humid: 79.1%, Volt: 11.4V, Flow: 6.5 L/min, CO2: 367 ppm
[DEBUG] Interval Check
[LOG][2000-06-07 07:16] Temp: 18.8C, Press: 98.6Pa, Humid: 70.4%, Volt: 13.4V, Flow: 6.3 L/min, CO2: 496 ppm
[LOG][2000-06-07 21:15] Temp: 25.6C, Press: 100.9Pa, Humid: 53.1%, Volt: 11.2V, Flow: 12.5 L/min, CO2: 434 ppm
[LOG][2000-06-07 23:15] Temp: 34.4C, Press: 99.7Pa, Humid: 69.4%, Volt: 12.9V, Flow: 10.8 L/min, CO2: 423 ppm
[LOG][2000-06-08 19:51] Temp: 34.8C, Press: 100.9Pa, Humid: 57.9%, Volt: 12.4V, Flow: 8.0 L/min, CO2: 453 ppm
[LOG][2000-06-08 23:58] Temp: 29.0C, Press: 98.1Pa, Humid: 78.8%, Volt: 13.9V, Flow: 10.4 L/min, CO2: 390 ppm
[LOG][2000-06-09 01:17] Temp: 31.1C, Press: 101.1Pa, Humid: 55.5%, Volt: 11.3V, Flow: 14.6 L/min, CO2: 474 ppm
[LOG][2000-06-09 18:52] Temp: 20.2C, Press: 100.5Pa, Humid: 58.5%, Volt: 12.4V, Flow: 14.8 L/min, CO2: 457 ppm
[LOG][2000-06-10 07:08] Temp: 21.6C, Press: 101.0Pa, Humid: 38.5%, Volt: 11.4V, Flow: 10.8 L/min, CO2: 400 ppm
[LOG][2000-06-10 07:42] Temp: 21.5C, Press: 104.5Pa, Humid: 57.7%, Volt: 13.8V, Flow: 9.6 L/min, CO2: 432 ppm
[LOG][2000-06-10 12:50] Temp: 25.2C, Press: 102.9Pa, Humid: 55.7%, Volt: 11.9V, Flow: 12.6 L/min, CO2: 364 ppm
[LOG][2000-06-11 11:44] Temp: 33.8C, Press: 98.5Pa, Humid: 75.1%, Volt: 12.6V, Flow: 10.4 L/min, CO2: 381 ppm
[LOG][2000-06-11 11:50] Temp: 31.3C, Press: 103.9Pa, Humid: 78.9%, Volt: 13.2V, Flow: 7.4 L/min, CO2: 381 ppm
[LOG][2000-06-11 18:09] Temp: 31.6C, Press: 101.6Pa, Humid: 62.3%, Volt: 11.8V, Flow: 14.8 L/min, CO2: 471 ppm
[LOG][2000-06-12 22:41] Temp: 29.6C, Press: 101.5Pa, Humid: 77.7%, Volt: 12.1V, Flow: 6.7 L/min, CO2: 474 ppm
[LOG][2000-06-13 10:36] Temp: 20.3C, Press: 99.1Pa, Humid: 77.7%, Volt: 11.6V, Flow: 14.6 L/min, CO2: 412 ppm
[LOG][2000-06-14 14:32] Temp: 34.0C, Press: 104.8Pa, Humid: 71.5%, Volt: 13.4V, Flow: 13.6 L/min, CO2: 473 ppm
[LOG][2000-06-14 22:20] Temp: 23.7C, Press: 104.7Pa, Humid: 57.0%, Volt: 13.6V, Flow: 13.6 L/min, CO2: 392 ppm
[LOG][2000-06-15 06:58] Temp: 31.3C, Press: 103.7Pa, Humid: 73.5%, Volt: 12.3V, Flow: 9.6 L/min, CO2: 469 ppm
[LOG][2000-06-16 03:41] Temp: 23.1C, Press: 104.2Pa, Humid: 63.2%, Volt: 11.4V, Flow: 11.2 L/min, CO2: 363 ppm
[LOG][2000-06-16 07:19] Temp: 17.2C, Press: 104.4Pa, Humid: 62.7%, Volt: nanV, Flow: 10.3 L/min, CO2: 403 ppm
[ERROR] Sensor Disconnected - Volt: nan
[LOG][2000-06-16 11:17] Temp: 34.9C, Press: 101.7Pa, Humid: 78.0%, Volt: 11.7V, Flow: 12.3 L/min, CO2: 437 ppm
[LOG][2000-06-17 04:32] Temp: 28.7C, Press: 103.6Pa, Humid: 52.2%, Volt: 13.9V, Flow: 9.4 L/min, CO2: 379 ppm
[LOG][2000-06-17 10:48] Temp: 30.9C, Press: 104.0Pa, Humid: 40.4%, Volt: 13.6V, Flow: 11.5 L/min, CO2: 357 ppm
[LOG][2000-06-17 18:29] Temp: 29.3C, Press: 99.5Pa, Humid: 59.1%, Volt: 13.2V, Flow: 7.3 L/min, CO2: 367 ppm
[LOG][2000-06-18 06:30] Temp: 30.0C, Press: 99.2Pa, Humid: 37.1%, Volt: 13.5V, Flow: 13.4 L/min, CO2: 492 ppm
[LOG][2000-06-19 16:58] Temp: 20.5C, Press: 104.9Pa, Humid: 46.4%, Volt: 11.8V, Flow: 14.6 L/min, CO2: 456 ppm
[LOG][2000-06-19 23:19] Temp: 27.7C, Press: 104.7Pa, Humid: 47.3%, Volt: 12.0V, Flow: 7.3 L/min, CO2: 495 ppm
[LOG][2000-06-20 00:09] Temp: 18.8C, Press: 98.7Pa, Humid: 78.8%, Volt: 13.0V, Flow: 11.0 L/min, CO2: 427 ppm
[LOG][2000-06-20 09:10] Temp: nanC, Press: 98.8Pa, Humid: 52.3%, Volt: 12.0V, Flow: 8.6 L/min, CO2: nan ppm
[ERROR] Sensor Disconnected - Temp: nan, CO2: nan
[LOG][2000-06-20 13:20] Temp: 30.3C, Press: 101.1Pa, Humid: 43.2%, Volt: 11.8V, Flow: 9.9 L/min, CO2: 193 ppm
[ERROR] CO2 Level Critical - CO2: 193 ppm
[LOG][2000-06-21 02:18] Temp: 23.4C, Press: 101.2Pa, Humid: 53.6%, Volt: 13.8V, Flow: 5.6 L/min, CO2: 460 ppm
[LOG][2000-06-21 14:08] Temp: 32.3C, Press: 102.4Pa, Humid: 34.5%, Volt: 12.2V, Flow: 13.9 L/min, CO2: 451 ppm
